covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Factor_1,0.0001984871309168191,1.0001985068307908,0.0004618129891452438,-0.0007066496954006458,0.001103623957234284,0.9992935999226944,1.0011042331742486,0.0,0.4297998011796791,0.6673412775258993,0.5835033522530424
Factor_2,-0.0003900243508080143,0.9996100516988017,0.0006121512770822984,-0.0015898188069795186,0.0008097701053634901,0.9984114442854886,1.0008100980576913,0.0,-0.6371372002472828,0.52403547923629,0.9322636037630431
Factor_3,0.00021336389203394923,1.0002133866557281,0.0005049311098489987,-0.000776282897943926,0.0012030106820118244,0.9992240183316734,1.0012037345896228,0.0,0.4225604005618833,0.6726160235782077,0.572144946618379
Factor_4,0.0001930259928778946,1.0001930446235936,0.000682345506840754,-0.0011443466255427123,0.0015303986112985015,0.9988563078893692,1.001531570268878,0.0,0.2828860026815463,0.7772642247607786,0.3635229802280093
Factor_5,-6.466260301777836e-05,0.9999353394875633,0.0005627630620766258,-0.0011676579365174438,0.001038332730481887,0.9988330235107526,1.0010388719845371,0.0,-0.11490200294804334,0.9085227974887947,0.1384053785442348
Factor_6,0.00044700747297377936,1.0004471073957024,0.00036239849414240266,-0.0002632805235968796,0.0011572954695444383,0.9997367541316788,1.001157965394355,0.0,1.2334694547547707,0.21740066602937072,2.201571734670262
Factor_7,0.00027672979967617177,1.0002767680928994,0.0005383355878279593,-0.0007783885640628276,0.001331848163415171,0.999221914301728,1.0013327354670545,0.0,0.514047010699595,0.6072191235130686,0.7197108677653743
Factor_8,0.0001920889334803767,1.000192107383741,0.00031570172211825803,-0.00042667507172868127,0.0008108529386894347,0.999573415941135,1.0008111817688052,0.0,0.6084506989430438,0.5428885947818796,0.881271919409298
Factor_9,-1.5915970213961565e-05,0.9999840841564445,0.0004308314227453695,-0.0008603300422030365,0.0008284981017751133,0.9991400399355791,1.0008288414011286,0.0,-0.036942454458267875,0.9705308890720058,0.0431539645843514
Factor_10,0.0001736936315242449,1.0001737087171365,0.000531390723493094,-0.0008678130482409016,0.0012152003112893914,0.9991325633926013,1.0012159389663622,0.0,0.326866134174249,0.7437691363600426,0.4270732121487361
Factor_11,-0.0001957979877304709,0.9998042211794446,0.0003668862992581982,-0.0009148819206977238,0.0005232859452367819,0.9990855364561685,1.0005234228832118,0.0,-0.5336748418416055,0.5935665180384253,0.752518380324659
Factor_12,-0.00041550329899399033,0.9995845830105473,0.0003335864246559268,-0.001069320677051091,0.0002383140790631105,0.9989312508425733,1.0002383424781192,0.0,-1.2455641725305684,0.21292444235601182,2.2315865234825316
Factor_13,0.0002982884734530002,1.0002983329658834,0.00048189585172328037,-0.0006462100402238835,0.001242786987129884,0.9993539987085165,1.0012435595668951,0.0,0.6189895023713272,0.5359232744932876,0.8999016229939522
Factor_14,0.00016010340032328454,1.0001601162175566,0.00027037007259944574,-0.00036981220446910887,0.0006900190051156779,0.9996302561676356,1.0006902571229948,0.0,0.5921639136461613,0.5537408315000896,0.8527171882785917
Factor_15,-0.0001306677775035489,0.9998693407591587,0.0005678306733343163,-0.0012435954465559373,0.0009822598915488396,0.9987571774978181,1.0009827424667879,0.0,-0.23011750446002566,0.818000463266785,0.2898264346634873
